rank,title,target_keyword,score,proof_url
1,What Creatine ACTUALLY Does to Your Body,what does creatine do,87,https://www.youtube.com/watch?v=-mmpvk3VLkc
2,Quit Sugar for 30 Days: What Really Happens,quit sugar 30 days,85,https://www.youtube.com/watch?v=exNYRhfoc0Y
3,Walking 10000 Steps a Day: What Actually Happens,walking 10000 steps benefits,84,https://www.youtube.com/watch?v=n5LSD8VrsMk
4,How Much Protein You REALLY Need (Not What They Say),how much protein to build muscle,83,https://www.youtube.com/watch?v=TgUWIuW2zG8
5,10 Gym Mistakes That Waste Your First Year,beginner gym mistakes,81,https://www.youtube.com/watch?v=PtGEd_ABXMw
6,Sleep: The Muscle Drug Nobody Takes,sleep muscle growth,80,https://www.youtube.com/watch?v=KO4ed-UjMyU
7,How to Raise Testosterone Naturally (What Actually Works),increase testosterone naturally,79,https://www.youtube.com/watch?v=jj2J1ONi0JM
8,4 Supplements That Are a Complete Waste of Money,supplements waste of money,78,https://www.mensfitness.com/news/mike-israetel-bad-supplements
9,Why Your Belly Fat Won't Go Away,lose belly fat,77,https://www.fitandwell.com/news/weight-loss-the-most-popular-workout-on-youtube
10,Intermittent Fasting: Miracle or Marketing?,intermittent fasting explained,76,https://www.frontiersin.org/journals/communication/articles/10.3389/fcomm.2021.625906/full
11,The Truth About Pre-Workout (Before You Buy Another Tub),is pre workout worth it,74,https://www.youtube.com/watch?v=Oti4GuADFKs
12,Stop Chasing 10000 Steps (Do This Instead),how many steps a day,73,https://www.youtube.com/watch?v=Gp7kxnpHIhk
13,The Steroid Talk Every Beginner Deserves,fake natty explained,73,https://www.nbcnews.com/tech/internet/natty-not-steroid-discussions-rcna42034
14,How Long Building Muscle REALLY Takes,how long to build muscle,72,https://us.youtubers.me/jeff-nippard/youtube-videos-stats
15,Cardio vs Weights: What Burns Fat Faster?,cardio vs weights fat loss,71,https://www.fitandwell.com/news/weight-loss-the-most-popular-workout-on-youtube
16,The Anabolic Window Is (Mostly) a Myth,anabolic window myth,70,https://www.youtube.com/watch?v=Pok0Jg2JAkE
17,Bulking & Cutting Explained (Don't Ruin Your First Bulk),bulking for beginners,69,
18,Your First 90 Days in the Gym (Complete Roadmap),beginner gym guide,68,
19,Home Workouts vs Gym: What Science Says,home workout vs gym,67,https://www.fitandwell.com/news/weight-loss-the-most-popular-workout-on-youtube
20,Progressive Overload: The Only Rule That Matters,progressive overload explained,66,https://www.youtube.com/shorts/wub5tSmnV8Q
21,Newbie Gains: Your One-Time Superpower,newbie gains,64,
22,Fasted Cardio: Fat-Burning Hack or Myth?,fasted cardio,63,
23,How Many Sets Do You Actually Need?,how many sets per week,62,
24,What Happens When You Stop Lifting,muscle loss stop lifting,58,
25,Muscle Memory Is Real: The Comeback Science,muscle memory,57,
26,Gym Anxiety: The Beginner's Cheat Code,gym anxiety,56,
27,The Cheapest High-Protein Foods (Budget Gains),cheap protein foods,55,
28,Alcohol & Gains: The Honest Math,alcohol muscle growth,54,
29,How Much Water You Actually Need,how much water per day,53,
30,Desk Body Rescue: Fix Your Posture,fix posture exercises,52,
31,Stop Static Stretching Before Lifting,stretching before workout,51,
32,Why Motivation Fails (Build Systems Instead),gym motivation,50,
33,Your First Pull-Up: The 4-Phase Plan,first pull up progression,49,
